Airport name,DST,IATA,ICAO,Location served,Time
Anaa Airport,,AAA,NTGA,"Anaa, Tuamotus, French Polynesia",UTC−10:00
Arrabury Airport,,AAB,YARY,"Arrabury, Queensland, Australia",UTC+10:00
El Arish International Airport,,AAC,HEAR,"El Arish, Egypt",UTC+02:00
Rabah Bitat Airport (Les Salines Airport),,AAE,DABB,"Annaba, Algeria",UTC+01:00
Apalachicola Regional Airport,Mar-Nov,AAF,KAAF,"Apalachicola, Florida, United States",UTC−05:00
Arapoti Airport,Oct-Feb,AAG,SSYA,"Arapoti, Paraná, Brazil",UTC−03:00
Merzbrück Airport,Mar-Oct,AAH,EDKA,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00
Arraias Airport,,AAI,SWRA,"Arraias, Tocantins, Brazil",UTC−03:00
Cayana Airstrip,,AAJ,SMCA,"Awaradam, Suriname",UTC−03:00
Aranuka Airport,,AAK,NGUK,"Aranuka, Kiribati",UTC+12:00
Aalborg Airport,Mar-Oct,AAL,EKYT,"Aalborg, Denmark",UTC+01:00
Mala Mala Airport,,AAM,FAMD,"Mala Mala, South Africa",UTC+02:00
Al Ain International Airport,,AAN,OMAL,"Al Ain, United Arab Emirates",UTC+04:00
Anaco Airport,,AAO,SVAN,"Anaco, Venezuela",UTC−04:00
Anapa Airport,,AAQ,URKA,"Anapa, Krasnodar Krai, Russia",UTC+03:00
Aarhus Airport,Mar-Oct,AAR,EKAH,"Aarhus, Denmark",UTC+01:00
Apalapsili Airport,,AAS,,"Apalapsili, Indonesia",UTC+09:00
Altay Airport,,AAT,ZWAT,"Altay, Xinjiang, China",UTC+06:00
Asau Airport,Sep-Apr,AAU,NSAU,"Asau, Savai'i Island, Samoa",UTC+13:00
Allah Valley Airport,,AAV,RPMA,"Surallah, Philippines",UTC+08:00
Araxá Airport,Oct-Feb,AAX,SBAX,"Araxá, Minas Gerais, Brazil",UTC−03:00
Al Ghaydah Airport,,AAY,OYGD,"Al Ghaydah, Yemen",UTC+03:00
Quetzaltenango Airport,,AAZ,MGQZ,"Quetzaltenango, Guatemala",UTC−06:00
Abakan International Airport,,ABA,UNAA,"Abakan, Republic of Khakassia, Russia",UTC+07:00
Asaba International Airport,,ABB,DNAS,"Asaba, Nigeria",UTC+01:00
Albacete Airport,Mar-Oct,ABC,LEAB,"Albacete, Castilla-La Mancha, Spain",UTC+01:00
Abadan International Airport,Mar-Sep,ABD,OIAA,"Abadan, Iran",UTC+03:30
Lehigh Valley International Airport,Mar-Nov,ABE,KABE,"Allentown, Pennsylvania, United States",UTC−05:00
Abaiang Atoll Airport,,ABF,NGAB,"Abaiang, Kiribati",UTC+12:00
Abingdon Airport,,ABG,YABI,"Abingdon, Queensland, Australia",UTC+10:00
Alpha Airport,,ABH,YAPH,"Alpha, Queensland, Australia",UTC+10:00
Abilene Regional Airport,Mar-Nov,ABI,KABI,"Abilene, Texas, United States",UTC−06:00
Port Bouet Airport (Felix Houphouet Boigny Int'l),,ABJ,DIAP,"Abidjan, Côte d'Ivoire",UTC+00:00
Kabri Dar Airport,,ABK,HAKD,"Kebri Dahar, Ethiopia",UTC+03:00
Ambler Airport (FAA: AFM),Mar-Nov,ABL,PAFM,"Ambler, Alaska, United States",UTC−09:00
Northern Peninsula Airport,,ABM,YNPE,"Bamaga, Queensland, Australia",UTC+10:00
Albina Airstrip,,ABN,SMBN,"Albina, Suriname",UTC−03:00
Aboisso Airport,,ABO,DIAO,"Aboisso, Côte d'Ivoire",UTC+00:00
Atkamba Airport,,ABP,,"Atkamba, Papua New Guinea",UTC+10:00
Albuquerque International Sunport,Mar-Nov,ABQ,KABQ,"Albuquerque, New Mexico, United States",UTC−07:00
Aberdeen Regional Airport,Mar-Nov,ABR,KABR,"Aberdeen, South Dakota, United States",UTC−06:00
Abu Simbel Airport,,ABS,HEBL,"Abu Simbel, Egypt",UTC+02:00
Al-Baha Domestic Airport,,ABT,OEBA,"Al-Baha, Saudi Arabia",UTC+03:00
Haliwen Airport,,ABU,WATA,"Atambua, Indonesia",UTC+08:00
Nnamdi Azikiwe International Airport,,ABV,DNAA,"Abuja, Nigeria",UTC+01:00
Abau Airport,,ABW,,"Abau, Papua New Guinea",UTC+10:00
Albury Airport,Oct-Apr,ABX,YMAY,"Albury, New South Wales, Australia",UTC+10:00
Southwest Georgia Regional Airport,Mar-Nov,ABY,KABY,"Albany, Georgia, United States",UTC−05:00
Aberdeen Airport,Mar-Oct,ABZ,EGPD,"Aberdeen, Scotland, United Kingdom",UTC+00:00
General Juan N. Álvarez International Airport,Apr-Oct,ACA,MMAA,"Acapulco, Guerrero, Mexico",UTC−06:00
Antrim County Airport,Mar-Nov,ACB,KACB,"Bellaire, Michigan, United States",UTC−05:00
Kotoka International Airport,,ACC,DGAA,"Accra, Ghana",UTC+00:00
Alcides Fernández Airport,,ACD,SKAD,"Acandí, Colombia",UTC−05:00
Lanzarote Airport,Mar-Oct,ACE,GCRR,"Lanzarote, Canary Islands, Spain",UTC+00:00
St. Gallen–Altenrhein Airport,Mar-Oct,ACH,LSZR,"Altenrhein, Switzerland",UTC+01:00
Alderney Airport,Mar-Oct,ACI,EGJA,"Alderney, Channel Islands, United Kingdom",UTC+00:00
Anuradhapura Airport,,ACJ,VCCA,"Anuradhapura, Sri Lanka",UTC+05:30
Nantucket Memorial Airport,Mar-Nov,ACK,KACK,"Nantucket, Massachusetts, United States",UTC−05:00
Aguaclara Airport,,ACL,,"Aguaclara, Colombia",UTC−05:00
Arica Airport,,ACM,,"Arica, Colombia",UTC−05:00
Ciudad Acuña International Airport,Mar-Nov,ACN,MMCC,"Ciudad Acuña, Coahuila, Mexico",UTC−06:00
Sahand Airport,Mar-Sep,ACP,OITM,"Maragheh, Iran",UTC+03:30
Araracuara Airport,,ACR,SKAC,"Araracuara, Colombia",UTC−05:00
Achinsk Airport,,ACS,UNKS,"Achinsk, Krasnoyarsk Krai, Russia",UTC+07:00
