City,FAA,IATA,ICAO,Airport,Role,Enplanements
Atlanta,ATL,ATL,KATL,Hartsfield-Jackson Atlanta International Airport,P-L,45308685
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,44006205
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,32427115
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,32278906
Dallas-Fort Worth,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,27100656
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,25497348
New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,25036855
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,21706567
Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,21347428
Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,19923594
Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,19528631
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,17614745
Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,17514139
Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,16282038
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,16194277
Detroit / Romulus,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport,P-L,15683787
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,15425869
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,15406243
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,14705014
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,13353365
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,13306354
"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,11276481
Baltimore / Glen Burnie,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,11134130
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,11079402
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,9919985
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,9910493
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,9463000
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,8876777
"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,8736804
Portland,PDX,PDX,KPDX,Portland International Airport,P-L,7453098
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,7205205
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,6773905
St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,6213972
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-M,4930935
Kansas City,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Contintent International Airport),P-M,4836221
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,4771830
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,4577498
Santa Ana,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,4542376
Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,4482973
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,4432527
Cleveland,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,4375822
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,4357835
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,4317896
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,4255145
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,4204478
Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,4201136
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,3916320
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,3813007
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,3783407
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,3535579
Milwaukee,MKE,MKE,KMKE,General Mitchell International Airport,P-M,3327536
Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,3065569
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,3019338
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,2848901
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,2760660
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,2681718
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,2568018
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,2549712
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,2525893
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,2477960
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,2046179
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,1970538
Burbank,BUR,BUR,KBUR,Bob Hope Airport (Hollywood Burbank Airport),P-M,1919005
