,dept,arrv,date,total distance,ticket price,departure,arrival,flight duration,airline,plane,departure_airport,departure_time,arrival_airport,arrival_time,plane code
0,atl,phx,01/01/2018,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
1,atl,phx,01/01/2018,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
2,atl,phx,01/01/2018,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:37am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:54pm,319
3,atl,phx,01/01/2018,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
4,atl,phx,01/01/2018,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
5,atl,phx,01/01/2018,"1,584",313.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
6,atl,phx,01/01/2018,"1,584",313.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
7,atl,lax,01/01/2018,"1,943",259.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 8 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",9:30pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",11:38pm,739
8,atl,lax,01/01/2018,"1,943",294.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 14 minutes,Spirit Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:47am,"Los Angeles, CA (LAX-Los Angeles Intl.)",2:01pm,319
9,atl,lax,01/01/2018,"1,943",299.19,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 8 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",1:40pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",3:48pm,757
10,atl,lax,01/01/2018,"1,943",299.19,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 10 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",4:40pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",6:50pm,333
11,atl,lax,01/01/2018,"1,943",299.19,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 11 minutes,Delta,Boeing 737-800,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",9:11pm,738
12,atl,lax,01/01/2018,"1,943",299.19,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 11 minutes,Delta,Boeing 757 (757-300),"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",3:05pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",5:16pm,753
13,atl,lax,01/01/2018,"1,943",368.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 8 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",12:12pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",2:20pm,757
14,atl,lax,01/01/2018,"1,943",368.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 6 minutes,Delta,Boeing 757 (757-300),"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",9:49am,"Los Angeles, CA (LAX-Los Angeles Intl.)",11:55am,753
15,atl,lax,01/01/2018,"1,943",368.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 9 minutes,Delta,Boeing 767,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Los Angeles, CA (LAX-Los Angeles Intl.)",12:59pm,764
16,atl,lax,01/01/2018,"1,943",368.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 10 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:50pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",11:00pm,757
17,atl,lax,01/01/2018,"1,943",414.20,"ATL, Atlanta","LAX, Los Angeles",0 days 5 hours 17 minutes,American Airlines,Boeing 737-800,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",3:45pm,"Los Angeles, CA (LAX-Los Angeles Intl.)",6:02pm,738
18,atl,ord,01/01/2018,600,140.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 13 minutes,Spirit Airlines,AIRBUS INDUSTRIE A320 SHARKLETS,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",1:59pm,"Chicago, IL (ORD-O'Hare Intl.)",3:12pm,32A
19,atl,ord,01/01/2018,600,169.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 16 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:29am,"Chicago, IL (ORD-O'Hare Intl.)",7:45am,319
20,atl,ord,01/01/2018,600,169.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 11 minutes,Delta,,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:28am,"Chicago, IL (ORD-O'Hare Intl.)",11:39am,
21,atl,ord,01/01/2018,600,209.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 3 minutes,Delta,BOEING (DOUGLAS) MD-88,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:10pm,"Chicago, IL (ORD-O'Hare Intl.)",11:13pm,M88
22,atl,ord,01/01/2018,600,209.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:40am,"Chicago, IL (ORD-O'Hare Intl.)",8:57am,319
23,atl,ord,01/01/2018,600,209.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 14 minutes,Delta,Boeing 717,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:39am,"Chicago, IL (ORD-O'Hare Intl.)",12:53pm,717
24,atl,ord,01/01/2018,600,209.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 3 minutes,Delta,Boeing 717,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",9:10am,"Chicago, IL (ORD-O'Hare Intl.)",10:13am,717
25,atl,ord,01/01/2018,600,209.19,"ATL, Atlanta","ORD, Chicago",0 days 2 hours 6 minutes,Delta,BOEING (DOUGLAS) MD-88,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",1:12pm,"Chicago, IL (ORD-O'Hare Intl.)",2:18pm,M88
26,atl,dfw,01/01/2018,725,1130.92,"ATL, Atlanta","DAL, Dallas",0 days 2 hours 23 minutes,Delta,Boeing 717,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",9:38am,"Dallas, TX (DAL-Love Field)",11:01am,717
27,atl,dfw,01/01/2018,725,1130.92,"ATL, Atlanta","DAL, Dallas",0 days 2 hours 25 minutes,Delta,Boeing 717,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",3:15pm,"Dallas, TX (DAL-Love Field)",4:40pm,717
28,atl,dfw,01/01/2018,725,1196.00,"ATL, Atlanta","DFW, Dallas",0 days 2 hours 33 minutes,American Airlines,Boeing 737-800,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:00am,"Dallas, TX (DFW-Dallas-Fort Worth Intl.)",9:33am,738
29,atl,dfw,01/01/2018,725,1196.00,"ATL, Atlanta","DFW, Dallas",0 days 2 hours 31 minutes,American Airlines,Boeing 737-800,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:15pm,"Dallas, TX (DFW-Dallas-Fort Worth Intl.)",3:46pm,738
30,atl,dfw,01/01/2018,725,1196.00,"ATL, Atlanta","DFW, Dallas",0 days 2 hours 35 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:30pm,"Dallas, TX (DFW-Dallas-Fort Worth Intl.)",7:05pm,320
31,atl,dfw,01/01/2018,725,1196.00,"ATL, Atlanta","DFW, Dallas",0 days 2 hours 32 minutes,American Airlines,Embraer 190,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",9:20pm,"Dallas, TX (DFW-Dallas-Fort Worth Intl.)",10:52pm,E90
32,atl,dfw,01/01/2018,725,1196.00,"ATL, Atlanta","DFW, Dallas",0 days 2 hours 31 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:00am,"Dallas, TX (DFW-Dallas-Fort Worth Intl.)",11:31am,320
33,atl,dfw,01/01/2018,725,1196.00,"ATL, Atlanta","DFW, Dallas",0 days 2 hours 36 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",3:59pm,"Dallas, TX (DFW-Dallas-Fort Worth Intl.)",5:35pm,320
