,dept,arrv,date,stops,total distance,ticket price,departure,arrival,flight duration,airline,plane,departure_airport,departure_time,arrival_airport,arrival_time,plane code
0,atl,phx,01/01/2018,Nonstop,"1,584",199.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
1,atl,phx,01/01/2018,Nonstop,"1,584",208.21,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
2,atl,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
3,atl,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
4,atl,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:37am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:54pm,319
5,atl,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
6,atl,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
7,atl,lax,01/01/2018,Nonstop,"1,584",199.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
8,atl,lax,01/01/2018,Nonstop,"1,584",208.21,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
9,atl,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
10,atl,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
11,atl,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:37am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:54pm,319
12,atl,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
13,atl,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
14,phx,atl,01/01/2018,Nonstop,"1,584",199.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
15,phx,atl,01/01/2018,Nonstop,"1,584",208.21,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
16,phx,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
17,phx,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
