Airport name,DST,IATA,ICAO,Location served,Time
Apalachicola Regional Airport,Mar-Nov,AAF,KAAF,"Apalachicola, Florida, United States",UTC−05:00
Lehigh Valley International Airport,Mar-Nov,ABE,KABE,"Allentown, Pennsylvania, United States",UTC−05:00
Abilene Regional Airport,Mar-Nov,ABI,KABI,"Abilene, Texas, United States",UTC−06:00
Ambler Airport (FAA: AFM),Mar-Nov,ABL,PAFM,"Ambler, Alaska, United States",UTC−09:00
Albuquerque International Sunport,Mar-Nov,ABQ,KABQ,"Albuquerque, New Mexico, United States",UTC−07:00
Aberdeen Regional Airport,Mar-Nov,ABR,KABR,"Aberdeen, South Dakota, United States",UTC−06:00
Southwest Georgia Regional Airport,Mar-Nov,ABY,KABY,"Albany, Georgia, United States",UTC−05:00
Antrim County Airport,Mar-Nov,ACB,KACB,"Bellaire, Michigan, United States",UTC−05:00
Nantucket Memorial Airport,Mar-Nov,ACK,KACK,"Nantucket, Massachusetts, United States",UTC−05:00
Waco Regional Airport,Mar-Nov,ACT,KACT,"Waco, Texas, United States",UTC−06:00
Arcata-Eureka Airport,Mar-Nov,ACV,KACV,"Eureka / Arcata, California, United States",UTC−08:00
Atlantic City International Airport,Mar-Nov,ACY,KACY,"Atlantic City, New Jersey, United States",UTC−05:00
Lenawee County Airport,Mar-Nov,ADG,KADG,"Adrian, Michigan, United States",UTC−05:00
Adak Airport,Mar-Nov,ADK,PADK,"Adak Island, Alaska, United States",UTC−10:00
Ardmore Municipal Airport,Mar-Nov,ADM,KADM,"Ardmore, Oklahoma, United States",UTC−06:00
Kodiak Airport,Mar-Nov,ADQ,PADQ,"Kodiak, Alaska, United States",UTC−09:00
Robert F. Swinnie Airport (FAA: PHH),Mar-Nov,ADR,KPHH,"Andrews, South Carolina, United States",UTC−05:00
Addison Airport,Mar-Nov,ADS,KADS,"Dallas, Texas, United States",UTC−06:00
Ada Municipal Airport (FAA: ADH),Mar-Nov,ADT,KADH,"Ada, Oklahoma, United States",UTC−06:00
Andrews Field (Andrews Air Force Base),Mar-Nov,ADW,KADW,"Camp Springs, Maryland, United States",UTC−05:00
Albert Lea Municipal Airport,Mar-Nov,AEL,KAEL,"Albert Lea, Minnesota, United States",UTC−06:00
Allakaket Airport (FAA: 6A8),Mar-Nov,AET,PFAL,"Allakaket, Alaska, United States",UTC−09:00
Alexandria International Airport,Mar-Nov,AEX,KAEX,"Alexandria, Louisiana, United States",UTC−06:00
United States Air Force Academy Airfield,Mar-Nov,AFF,KAFF,"Colorado Springs, Colorado, United States",UTC−07:00
Jaffrey Airport–Silver Ranch,Mar-Nov,AFN,KAFN,"Jaffrey, New Hampshire, United States",UTC−05:00
Afton Municipal Airport,Mar-Nov,AFO,KAFO,"Afton, Wyoming, United States",UTC−07:00
Fort Worth Alliance Airport,Mar-Nov,AFW,KAFW,"Fort Worth, Texas, United States",UTC−06:00
Allegheny County Airport,Mar-Nov,AGC,KAGC,"Pittsburgh, Pennsylvania, United States",UTC−05:00
Angoon Seaplane Base,Mar-Nov,AGN,PAGN,"Angoon, Alaska, United States",UTC−09:00
Magnolia Municipal Airport,Mar-Nov,AGO,KAGO,"Magnolia, Arkansas, United States",UTC−06:00
Augusta Regional Airport at Bush Field,Mar-Nov,AGS,KAGS,"Augusta, Georgia, United States",UTC−05:00
Amedee Army Airfield,Mar-Nov,AHC,KAHC,"Herlong, California, United States",UTC−08:00
Ardmore Downtown Executive Airport (FAA: 1F0),Mar-Nov,AHD,,"Ardmore, Oklahoma, United States",UTC−06:00
Arapahoe Municipal Airport (FAA: 37V),Mar-Nov,AHF,,"Arapahoe, Nebraska, United States",UTC−06:00
Amery Municipal Airport,Mar-Nov,AHH,KAHH,"Amery, Wisconsin, United States",UTC−06:00
Ashland Municipal Airport[1],Mar-Nov,AHM,,"Ashland, Oregon, United States",UTC−08:00
Athens Ben Epps Airport,Mar-Nov,AHN,KAHN,"Athens, Georgia, United States",UTC−05:00
Alliance Municipal Airport,Mar-Nov,AIA,KAIA,"Alliance, Nebraska, United States",UTC−07:00
Anderson Municipal Airport (Darlington Field),Mar-Nov,AID,KAID,"Anderson, Indiana, United States",UTC−05:00
Aiken Municipal Airport,Mar-Nov,AIK,KAIK,"Aiken, South Carolina, United States",UTC−05:00
Wainwright Airport (FAA: AWI),Mar-Nov,AIN,PAWI,"Fort Wainwright, Alaska, United States",UTC−09:00
Atlantic Municipal Airport,Mar-Nov,AIO,KAIO,"Atlantic, Iowa, United States",UTC−06:00
George Downer Airport,Mar-Nov,AIV,KAIV,"Aliceville, Alabama, United States",UTC−06:00
Atlantic City Municipal Airport (Bader Field) (closed 2006),,AIY,KAIY,"Atlantic City, New Jersey, United States",
Lee C. Fine Memorial Airport,Mar-Nov,AIZ,KAIZ,"Lake Ozark, Missouri, United States",UTC−06:00
Atka Airport (FAA: AKA),Mar-Nov,AKB,PAAK,"Atka, Alaska, United States",UTC−10:00
Akron Fulton International Airport (FAA: AKR),Mar-Nov,AKC,KAKR,"Akron, Ohio, United States",UTC−05:00
Akiak Airport,Mar-Nov,AKI,PFAK,"Akiak, Alaska, United States",UTC−09:00
Akhiok Airport,Mar-Nov,AKK,PAKH,"Akhiok, Alaska, United States",UTC−09:00
